Date,Close,prediction,sentimen
1/6/2021,36824.36328,35320.30866,netral
1/10/2021,38356.44141,39253.61388,positif
1/12/2021,33922.96094,34244.43442,negatif
1/17/2021,35791.27734,35153.16174,positif
1/23/2021,32067.64258,32239.26162,negatif
1/27/2021,30432.54688,31281.46901,negatif
2/2/2021,35510.28906,34464.37384,positif
2/8/2021,46196.46484,42561.96266,positif
2/18/2021,51679.79688,52179.08203,positif
2/19/2021,55888.13281,53987.12308,positif
2/20/2021,56099.51953,56510.0019,netral
2/22/2021,54207.32031,54636.0079,negatif
2/24/2021,49705.33203,48248.49858,negatif
2/28/2021,45137.76953,45225.59014,negatif
3/7/2021,51206.69141,50146.50811,positif
3/14/2021,59302.31641,60983.0035,positif
3/22/2021,54529.14453,56620.06289,negatif
4/14/2021,63109.69531,63656.39239,positif
4/26/2021,54021.75391,51561.04028,negatif
4/30/2021,57750.17578,55455.70522,positif
5/1/2021,57828.05078,58033.7122,netral
5/2/2021,56631.07813,57563.64903,negatif
5/13/2021,49716.19141,48341.08992,negatif
5/15/2021,46760.1875,49168.98911,negatif
6/5/2021,35551.95703,36541.99417,negatif
6/13/2021,39097.85938,37194.0528,positif
6/17/2021,38053.50391,38227.96592,negatif
6/21/2021,31676.69336,34126.37725,negatif
6/24/2021,34662.4375,34345.75467,positif
7/6/2021,34235.19531,34145.25127,negatif
7/12/2021,33155.84766,33903.91776,negatif
7/27/2021,39406.94141,38477.01523,positif
8/3/2021,38152.98047,38614.6301,negatif
8/11/2021,45593.63672,46117.93268,positif
8/16/2021,46004.48438,46855.40929,netral
9/1/2021,48847.02734,47681.19694,positif
9/15/2021,48176.34766,47747.18017,negatif
9/19/2021,47260.21875,47753.52585,negatif
9/22/2021,43574.50781,41606.23064,negatif
9/24/2021,42839.75,44145.94187,negatif
9/27/2021,42235.73047,43405.75188,negatif
9/29/2021,41564.36328,41387.16916,negatif
10/19/2021,64261.99219,63154.19686,positif
10/22/2021,60692.26563,61828.92755,negatif
10/23/2021,61393.61719,60135.70716,positif
10/27/2021,58482.38672,59902.28972,negatif
10/29/2021,62227.96484,61725.60331,positif
11/10/2021,64995.23047,66977.01188,positif
11/12/2021,64155.94141,63909.85685,negatif
11/23/2021,57569.07422,56287.16158,negatif
12/5/2021,49368.84766,47928.49289,negatif
12/7/2021,50700.08594,51275.18435,positif
12/11/2021,49362.50781,47907.76642,negatif
12/18/2021,46848.77734,46128.62815,negatif
1/7/2022,41557.90234,41680.81804,negatif
1/15/2022,43177.39844,43082.85962,positif
1/21/2022,36457.31641,39000.58914,negatif
2/4/2022,41500.875,39425.3933,positif
2/17/2022,40538.01172,42926.85389,negatif
2/24/2022,38332.60938,37229.80818,negatif
3/6/2022,38419.98438,38713.08314,netral
3/7/2022,38062.03906,38434.78758,netral
3/15/2022,39338.78516,39314.30128,positif
3/23/2022,42892.95703,42504.99524,positif
3/27/2022,46820.49219,45723.48285,positif
3/30/2022,47062.66406,47176.29417,netral
4/12/2022,40127.18359,39475.63816,negatif
4/20/2022,41374.37891,41733.15801,positif
